epoch,train_loss,val_loss,train_auc,val_auc,Model
1,0.3157,0.3034,0.5,0.5,LSTM
2,0.2505,0.2487,0.5,0.5,LSTM
3,0.1937,0.2027,0.5,0.5,LSTM
4,0.1572,0.1625,0.5,0.5,LSTM
5,0.1289,0.1294,0.5,0.5,LSTM
6,0.0969,0.1017,0.5,0.5,LSTM
7,0.0821,0.08,0.5,0.5,LSTM
8,0.0705,0.0634,0.5,0.5,LSTM
9,0.0541,0.0506,0.5,0.5,LSTM
10,0.0489,0.0408,0.5,0.5,LSTM
11,0.0354,0.0369,0.5,0.5,LSTM
1,1.3285,1.1811,0.3736,0.3125,LSTM
2,1.1596,1.03,0.4518,0.4375,LSTM
3,0.9994,0.9058,0.5614,0.5625,LSTM
4,0.8803,0.8059,0.599,0.625,LSTM
5,0.7724,0.7304,0.6746,0.625,LSTM
6,0.7444,0.6742,0.6658,0.625,LSTM
7,0.6536,0.6324,0.7118,0.6562,LSTM
8,0.6225,0.5995,0.7188,0.7188,LSTM
9,0.5916,0.5714,0.7341,0.75,LSTM
10,0.543,0.5473,0.786,0.8125,LSTM
11,0.535,0.5364,0.7845,0.8438,LSTM
12,0.5062,0.5262,0.8068,0.8438,LSTM
13,0.4948,0.5174,0.824,0.8438,LSTM
14,0.498,0.5097,0.8115,0.875,LSTM
15,0.4952,0.503,0.817,0.875,LSTM
16,0.5408,0.497,0.7699,0.875,LSTM
17,0.4727,0.4917,0.8386,0.875,LSTM
18,0.4702,0.4871,0.832,0.875,LSTM
19,0.4695,0.483,0.8444,0.8125,LSTM
20,0.454,0.4795,0.8517,0.8125,LSTM
21,0.466,0.4779,0.8364,0.8125,LSTM
22,0.4677,0.4766,0.8393,0.8125,LSTM
23,0.4294,0.4755,0.8729,0.8438,LSTM
24,0.4496,0.4747,0.8532,0.8438,LSTM
