epoch,train_loss,train_auc,val_loss,val_auc,learning_rate,time_elapsed,Model
1,2.2070913491239,0.5063714063714063,2.1912192614503607,0.8725783475783475,0.0002,1.3339099884033203,BiLSTM
2,2.1509036733870612,0.6481587436132891,2.1634398319924526,0.9142806267806268,0.0002,1.7770817279815674,BiLSTM
3,2.0788631811370473,0.8294483294483295,1.8245951408563659,0.9092948717948718,0.0002,2.180577278137207,BiLSTM
4,1.7986633195433506,0.7928951519860611,1.7849815224492274,0.9131588319088318,0.0002,2.538142442703247,BiLSTM
5,1.7438832634851242,0.7810906265451719,1.6864811135816944,0.9167913105413106,0.0002,2.9310693740844727,BiLSTM
6,1.6879890517838998,0.81903416448871,1.761635466139446,0.9150284900284901,0.0002,3.3285646438598633,BiLSTM
7,1.6975215743174428,0.8205811023992843,1.6572512536085853,0.9245192307692308,0.0002,3.717479705810547,BiLSTM
8,1.6325540662735931,0.8343128252219161,1.6071870696637058,0.9191417378917378,0.0002,4.138734579086304,BiLSTM
9,1.611004788410168,0.8114760660215207,1.6128093826678371,0.9204594017094017,0.0002,4.525726318359375,BiLSTM
10,1.5994769074364057,0.8226860681406136,1.565075857694759,0.9317307692307693,0.0002,4.921096324920654,BiLSTM
11,1.5007401604817063,0.8353087989451626,1.565728643143824,0.9456018518518517,0.0002,5.34268045425415,BiLSTM
12,1.4949354534841408,0.8717265899084082,1.3767650940621545,0.94375,0.0002,5.764251470565796,BiLSTM
13,1.394305342599655,0.8798238798238798,1.458438662595527,0.9394052706552706,0.0002,6.161615610122681,BiLSTM
14,1.43059350992274,0.8961408961408962,1.2447446113408998,0.9533297720797721,0.0002,6.543648719787598,BiLSTM
15,1.258410118935056,0.9041298768571495,1.2023085189420124,0.9489672364672365,0.0002,6.957590341567993,BiLSTM
16,1.0878270091600533,0.9230368957641685,1.028296429981557,0.948139245014245,0.0002,7.356951951980591,BiLSTM
17,1.0111566690427471,0.928327564691201,0.943851959797763,0.9541132478632479,0.0001,7.751322984695435,BiLSTM
18,0.9096904293259237,0.9355913446822539,0.9750552778096162,0.9563746438746439,0.0001,8.16228175163269,BiLSTM
19,0.9656832021588251,0.935193426102517,0.9603705415429995,0.9558048433048434,0.0001,8.595221996307373,BiLSTM
20,0.929500847445818,0.9379294106566834,0.9898280422816905,0.9595263532763533,0.0001,8.985963582992554,BiLSTM
21,0.9584615684210877,0.9420121965576511,1.0125780465991,0.9585292022792022,0.0001,9.397443532943726,BiLSTM
22,0.9567898902530146,0.9420357420357421,0.9619479308756747,0.9622507122507122,0.0001,9.778669118881226,BiLSTM
23,0.8848743842805751,0.9449765722492995,0.8167264424553213,0.9644586894586894,0.0001,10.214245557785034,BiLSTM
24,0.8100634420144885,0.9442725624543806,0.8592739271563153,0.9630876068376067,5e-05,10.608006715774536,BiLSTM
25,0.8023958125527767,0.9472722563631655,0.8717888630637827,0.9634793447293446,5e-05,10.983784437179565,BiLSTM
26,0.8397193079350951,0.9469379105742742,0.8892336390739264,0.9642806267806269,5e-05,11.358311414718628,BiLSTM
27,0.828267026443226,0.9475689293871111,0.8764090112937514,0.9642628205128204,5e-05,11.730561256408691,BiLSTM
28,0.837381537024449,0.9486685032139577,0.8762122993321382,0.9654914529914529,5e-05,12.101470708847046,BiLSTM
29,0.8403571755051025,0.9504909232181958,0.9060751634050709,0.9659188034188034,2.5e-05,12.472820043563843,BiLSTM
30,0.850727962767095,0.9524546160909797,0.8896868247394414,0.9660968660968661,2.5e-05,12.859668493270874,BiLSTM
31,0.8486088085040145,0.95263591627228,0.9202287603718365,0.9666666666666667,2.5e-05,13.258052349090576,BiLSTM
32,0.8652102879187521,0.9532057168420803,0.914464835972749,0.9666844729344729,2.5e-05,13.64423680305481,BiLSTM
33,0.8742165920010245,0.9533328624237716,0.9014642414196518,0.9670762108262108,2.5e-05,14.040236711502075,BiLSTM
34,0.8208604370984837,0.9514327423418332,0.8883697182633156,0.9674145299145299,2.5e-05,14.41164755821228,BiLSTM
35,0.8580557781680526,0.9529867438958348,0.9170454398606175,0.9676638176638177,2.5e-05,14.808046817779541,BiLSTM
36,0.8669821328054943,0.9580843399025217,0.9206672102905983,0.967485754985755,1.25e-05,15.201426029205322,BiLSTM
37,0.8826356659983984,0.954458336276518,0.927872570910195,0.9676994301994302,1.25e-05,15.567831039428711,BiLSTM
38,0.8762291281722313,0.9572202208565844,0.9151509769203127,0.9676994301994302,1.25e-05,15.992892742156982,BiLSTM
39,0.8797860249320414,0.9533187351369169,0.9167553722396378,0.9677706552706553,1.25e-05,16.412684440612793,BiLSTM
40,0.886619728959052,0.9543429634338725,0.9124265816784645,0.9675747863247863,1.25e-05,16.814432859420776,BiLSTM
41,0.8737903798945442,0.9502719502719503,0.9151245568149774,0.9676460113960115,6.25e-06,17.196933031082153,BiLSTM
42,0.8778460836897777,0.950215441124532,0.9127857426340266,0.9678596866096867,6.25e-06,17.55683183670044,BiLSTM
43,0.8784169259417469,0.9531798168161805,0.9163594837336577,0.9680021367521368,6.25e-06,17.9688458442688,BiLSTM
44,0.8639784378430808,0.9562218925855289,0.9169217763945113,0.9680199430199431,6.25e-06,18.35478687286377,BiLSTM
45,0.8840904580278242,0.9539521084975631,0.9154388969258744,0.9681623931623932,6.25e-06,18.7524151802063,BiLSTM
46,0.9007965651425448,0.9527300981846436,0.916504791540693,0.968358262108262,3.125e-06,19.155229568481445,BiLSTM
47,0.8980803026793455,0.9521579430670339,0.9149123356323834,0.9685363247863248,3.125e-06,19.593329906463623,BiLSTM
48,0.892435947885977,0.9550257822985095,0.9128373473189598,0.9685363247863248,3.125e-06,19.99549913406372,BiLSTM
49,0.8785483177654166,0.9549151185514821,0.9110345082689625,0.9684294871794872,3.125e-06,20.408101081848145,BiLSTM
50,0.8692861629926966,0.9527960255232983,0.9168337213900662,0.968482905982906,3.125e-06,20.80719256401062,BiLSTM
51,0.8724792158628871,0.9564008382190201,0.915817842002987,0.9683938746438747,1.5625e-06,21.196269750595093,BiLSTM
52,0.8697851096516852,0.9588283770101952,0.9150457086489182,0.9682514245014245,1.5625e-06,21.55776834487915,BiLSTM
53,0.8562390676596536,0.9588801770619952,0.917484534803287,0.9683938746438747,1.5625e-06,21.958061695098877,BiLSTM
54,0.8695192103490097,0.9598337689246781,0.9186371056608451,0.9685363247863248,1.5625e-06,22.33902406692505,BiLSTM
55,0.9012638973971334,0.9555532010077464,0.9190764251605484,0.9685007122507123,1.5625e-06,22.711860179901123,BiLSTM
56,0.8725781280276975,0.9556379647288739,0.9167009444199792,0.9685007122507123,1e-06,23.088801622390747,BiLSTM
57,0.8671790515981651,0.9548939276212003,0.9153825460478316,0.9685363247863248,1e-06,23.444793701171875,BiLSTM
58,0.8764265088483932,0.9540250994796449,0.9166639424109644,0.968554131054131,1e-06,23.8267605304718,BiLSTM
59,0.8762545118540253,0.9540698358880177,0.9161669773648876,0.9685363247863248,1e-06,24.232995986938477,BiLSTM
60,0.8596496676121739,0.9581432035977491,0.9162430504495783,0.9684829059829059,1e-06,24.615870475769043,BiLSTM
61,0.8466375417655585,0.9575757575757576,0.9145362192346144,0.9684650997150998,1e-06,24.994128227233887,BiLSTM
62,0.8814491030193703,0.9571283934920299,0.9132392831551012,0.9683760683760684,1e-06,25.365242958068848,BiLSTM
63,0.8719674906653363,0.9514044877681243,0.9131486277247585,0.9683226495726496,1e-06,25.73544430732727,BiLSTM
64,0.8929170861556717,0.9528219255491982,0.914458479992179,0.968411680911681,1e-06,26.1117160320282,BiLSTM
65,0.8606749174038737,0.9582891855619129,0.9144024368404418,0.968411680911681,1e-06,26.485747814178467,BiLSTM
66,0.8761228854342025,0.9544300817028091,0.9144002984660541,0.9683938746438747,1e-06,26.868475675582886,BiLSTM
67,0.8637681513961728,0.9542322996868451,0.9143418914587923,0.9683760683760684,1e-06,27.25489902496338,BiLSTM
68,0.8413289768583259,0.9571354571354571,0.9143637437229009,0.9683404558404558,1e-06,27.634567499160767,BiLSTM
69,0.866697028121787,0.9558828377010196,0.9156288777210916,0.968358262108262,1e-06,28.0134916305542,BiLSTM
70,0.8752691540355159,0.9526712344894163,0.9143939378649689,0.9683404558404558,1e-06,28.387019634246826,BiLSTM
71,0.8499105967964565,0.9599632690541782,0.9142963710681412,0.968358262108262,1e-06,28.790571212768555,BiLSTM
72,0.8841241010063714,0.9557651103105649,0.9160861867342809,0.9683938746438746,1e-06,29.197879552841187,BiLSTM
73,0.868284498746333,0.9540227449318358,0.9156495683877043,0.9682514245014245,1e-06,29.556692361831665,BiLSTM
74,0.8608103403749392,0.9554119281392008,0.9179105333579604,0.9682870370370371,1e-06,29.963032484054565,BiLSTM
75,0.8822869181717005,0.9555367191730829,0.9155847933865333,0.968358262108262,1e-06,30.349579095840454,BiLSTM
76,0.8808725461563315,0.9542840997386453,0.9155386649360953,0.9683048433048432,1e-06,30.729272603988647,BiLSTM
77,0.8590114835788869,0.9581620399802219,0.9155576339987821,0.9683048433048433,1e-06,31.13281750679016,BiLSTM
78,0.8690900414909083,0.9565468201831838,0.9155568854753361,0.9683404558404558,1e-06,31.51049017906189,BiLSTM
79,0.864211884747936,0.955393091756728,0.9154611862907114,0.9684472934472934,1e-06,31.923174142837524,BiLSTM
80,0.8783790141113045,0.9552424006969461,0.9154892189558163,0.9683226495726497,1e-06,32.310080766677856,BiLSTM
81,0.8614935812772034,0.9547926820654093,0.914887127026107,0.9683938746438746,1e-06,32.69858932495117,BiLSTM
82,0.8638574375158636,0.959355795719432,0.9148453658865404,0.9683938746438747,1e-06,33.110634088516235,BiLSTM
83,0.8842254194934407,0.9608838972475335,0.9148738846298337,0.9683938746438746,1e-06,33.52873206138611,BiLSTM
